1,1,54
2,2,50
3,2,50
5,1,54
7,2,50
8,2,50
9,2,47
13,1,50
15,2,50
16,2,47
17,1,54
19,1,54
18,2,50
20,1,54
21,1,50
22,1,54
23,2,47
24,1,54
25,2,50
26,1,54
27,1,50
28,1,54
29,1,54
30,2,47
32,2,47
33,1,54
34,2,47
35,1,50
36,2,47
38,1,54
39,2,50
40,1,50
41,2,47
42,2,50
43,2,47
44,2,50
45,1,54
46,2,47
47,1,50
48,2,47
49,2,50
50,1,54
52,1,50
53,2,47
54,2,50
55,2,47
56,2,47
57,2,50
58,1,54
59,1,54
60,2,47
64,1,54
65,2,50
66,2,47
68,2,47
69,2,41
70,2,50
71,1,50
73,1,50
74,1,54
75,1,54
77,1,54
78,1,54
79,2,50
81,1,50
82,2,50
83,1,54
84,2,43
85,1,54
86,2,50
87,1,43
88,2,47
89,2,47
90,1,54
91,2,50
92,1,54
93,2,50
94,2,50
95,1,54
96,1,50
97,2,47
98,1,50
99,2,41
100,1,54
101,1,54
102,1,50
103,1,54
104,1,50
105,2,50
106,1,50
107,2,47
108,1,54
111,1,54
112,1,50
113,2,41
114,2,50
115,2,47
116,1,54
117,1,54
118,1,50
119,2,47
120,1,54
121,2,47
122,2,47
123,2,50
124,2,50
126,1,54
129,2,47
130,2,47
131,1,50
132,1,54
133,1,54
134,1,54
135,1,54
136,2,50
137,1,50
138,1,50
140,2,47
142,1,50
143,1,54
144,2,47
145,2,50
160,1,50
161,2,47
162,2,47
