1,15,24,33,41,49,58,70,79,88,97,105,114,122,132,140
2,16,25,34,42,50,59,71,81,89,98,106,115,123,133,141
3,17,26,35,43,52,60,73,82,90,99,107,116,124,134,142
5,18,27,36,44,53,64,74,83,92,100,108,117,125,135,143
7,20,28,37,45,54,65,75,84,93,101,109,118,126,136,144
8,21,29,38,46,55,66,77,85,94,102,111,119,129,137,145
9,22,30,39,47,56,68,78,86,95,103,112,121,130,138,79
13,23,32,40,48,57,69,1,87,96,104,113,122,131,139,81
15,24,33,41,49,58,70,2,88,97,105,114,123,132,140,82
16,25,34,42,50,59,71,3,89,98,106,115,124,133,141,83
17,26,35,43,52,60,73,-1,90,99,108,116,125,134,142,-1
18,27,36,44,53,64,74,5,92,100,107,117,120,135,143,84
20,28,37,45,54,65,75,7,93,101,109,118,126,136,144,85
21,29,38,46,55,66,77,8,94,102,111,119,129,137,145,86
22,30,39,47,56,68,78,9,95,103,112,120,130,138,79,87
23,32,40,48,57,69,1,13,96,104,113,121,131,139,81,88
24,33,41,50,58,70,2,15,97,105,114,122,132,140,82,89
25,34,42,49,59,71,3,16,98,106,115,123,133,141,83,90
26,35,43,52,60,73,5,19,99,107,116,124,134,142,84,91
27,36,44,53,64,74,160,17,100,108,117,125,135,143,161,92
28,38,45,54,65,75,7,18,101,109,118,126,136,162,85,93
29,39,46,55,66,77,8,20,102,111,119,129,137,144,86,94
30,40,47,56,68,19,9,21,103,112,121,130,138,145,87,95
32,41,48,57,160,78,13,22,104,113,120,161,91,79,88,96
33,42,49,58,69,1,15,23,105,114,162,131,139,81,89,97
34,43,50,59,70,2,16,24,106,115,122,132,140,82,90,98
35,44,52,19,71,3,17,25,107,91,123,133,142,83,92,99
38,45,160,60,73,5,18,26,108,116,124,134,143,84,93,100
36,46,53,65,74,7,21,27,161,129,126,135,144,85,95,162
39,47,54,64,75,8,20,28,111,117,119,136,145,86,94,101
40,48,55,66,77,9,22,29,112,118,130,137,79,87,96,102
41,19,56,68,78,13,23,30,113,120,131,138,81,88,91,103
42,49,57,69,1,15,24,32,114,121,132,140,82,160,97,104
43,50,58,70,2,16,25,33,115,122,133,142,161,89,98,105
44,45,59,71,3,17,26,34,116,123,134,162,83,90,99,106
29,22,64,60,30,40,66,126,135,108,131,137,144,129,84,102
5,47,74,27,68,54,55,20,119,121,138,113,124,103,117,95
53,161,57,7,78,160,18,56,112,87,143,145,100,85,136,93
48,8,28,1,77,162,73,46,83,123,81,79,130,101,96,105
64,66,60,40,22,29,30,102,144,129,137,131,84,135,108,126
65,75,36,32,38,74,68,55,115,111,120,86,92,91,118,104
21,19,13,35,69,39,9,23,82,119,90,89,103,107,94,106
27,162,47,20,70,24,5,54,121,124,117,95,138,132,140,142
53,17,7,18,29,3,57,43,134,113,87,143,122,97,145,100
22,60,1,40,66,64,56,28,112,131,84,105,123,129,126,81
161,46,71,77,41,78,16,34,108,137,160,136,135,83,85,93
68,48,73,8,42,15,74,55,130,104,101,144,96,79,133,114
50,23,36,38,44,65,75,26,99,111,86,120,118,92,91,116
24,47,27,54,20,5,7,94,107,121,106,82,115,89,90,103
70,3,43,17,53,18,57,119,124,142,138,117,140,95,132,113
